GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Infraestructure,default,UnitOfWork,0,35,0,2,0,10,0,3,0,2
Infraestructure,default,Infraestructure,0,15,0,0,0,7,0,2,0,2
Infraestructure,Context,IWriteDbContext,0,4,0,0,0,2,0,1,0,1
Infraestructure,Repository,TripulanteRepository,22,38,0,0,0,11,3,6,3,6
Infraestructure,Context.MongoDB,WriteDbContext,216,76,13,1,41,25,19,8,12,8
